strain name,CP,RFP,5.FU,H2O2,CMZ,LVAL,B.Cl.Ala,AZT,KM,6.MP,AF,NiCl,CBPC,NFLX,SDC,SXZ,FOS,KTe,PS,BZ,DCS,MMC,VCM,ATP,PLM,PHEN,3.AT,NVA,MEC,TET,M9,NQO,EDTA,SHX,PMZ,NIT,SS,BSD,GAH,FTD,EM,HSE,CCCP,ABU,PUR,DVAL,5.FOA,NMNO
VCME2,0.170352,-1.881081,-0.235063,-0.314189,-3.468988,0.887748,0.795932,-1.504904,-1.258117,0.745482,2.451284,0.832375,-1.701759,0.220369,-0.435979,0.840304,-0.229294,0.998916,-2.724403,1.125519,-0.080051,0.590665,5.608386,-3.00332,-0.010367,-0.470831,-0.557834,1.003891,-12.779858,-1.337115,0.102666,-1.092951,3.172147,1.247996,-2.909156,0.07116,-0.184032,-1.248078,2.145269,0.132933,-1.979752,0.20384,-1.197547,-1.927084,-2.772217,1.000692,-0.25628,-1.730734
VCME4,0.718115,0.030119,-0.47506,-2.345002,1.585125,-0.15339,-0.510804,5.238298,-0.866549,-0.5862,2.815435,1.888678,4.955554,1.366431,-1.487239,1.603822,1.260165,-7.299203,-0.322255,-0.070143,-0.382508,-0.148747,2.698102,-1.432236,0.965153,-0.064018,1.167723,1.164405,1.47401,0.929982,-0.239185,-0.140404,0.774651,1.35652,-0.870613,-2.216205,-0.442387,0.337118,0.301489,0.771497,-0.641954,0.007602,-3.064139,0.056787,0.179199,2.804637,-1.217328,0.959355
VCME5,-0.205766,1.424621,-1.259458,-0.412034,-1.884419,-0.057892,-0.082672,-0.208698,-0.477811,-0.990996,-0.189096,0.055775,-1.217303,-0.003322,-0.084269,-0.110826,-0.79647,-6.38786,-0.189789,1.024303,0.846573,0.322742,4.727285,-0.106421,-0.072621,-0.315919,0.645238,-0.896949,-5.550903,-0.189003,0.101596,0.302508,0.49074,-1.300247,-0.142186,0.476773,-0.786934,-0.058532,0.281981,0.293697,0.521997,0.46178,-2.430703,-3.507635,1.19727,-1.264626,-0.153119,-0.221616
ATPE3,3.950545,6.727715,0.219314,1.247579,1.657361,-0.337136,0.283649,1.274861,0.433811,1.43309,7.939179,3.110492,2.961058,0.307018,0.330062,0.665929,2.491828,7.249072,-0.831763,1.317663,0.165143,2.53781,0.147324,6.128631,0.302962,4.51027,-2.235122,2.566919,-0.924603,3.099975,0.102666,0.724233,4.353163,1.850777,5.952015,1.078971,0.859516,1.412293,1.168252,1.702085,10.654338,1.002676,-2.350669,1.284445,8.051718,0.165709,3.436162,4.437381
ATPE1,3.495388,5.357788,-0.03475,-0.030548,1.844142,-0.102332,0.084897,1.096239,-0.7352,-0.119839,5.594363,1.791581,2.146007,0.383186,0.367553,0.62154,0.375744,5.188864,-0.742545,1.348369,0.075659,2.011345,0.324394,4.53155,-0.568459,3.157556,-0.312062,1.996334,-3.220225,1.819604,0.102666,1.254103,3.429159,2.182738,4.714355,1.175354,0.967881,1.544867,1.538056,1.576758,6.655172,-0.398688,-0.393015,0.038615,5.020563,-0.979225,1.468067,2.993388
ATPE5,2.091713,-2.565467,-1.053114,-0.447544,1.206475,1.03679,1.522735,1.664325,-0.524883,0.146736,6.32487,1.215801,1.856379,0.451202,-0.049229,-5.176768,1.272244,-15.749552,-0.940946,-0.176215,0.08852,0.954647,0.33644,4.58269,0.696553,1.951733,-1.214674,3.819376,1.057021,1.85684,0.102666,0.663785,5.283488,-1.816051,3.809105,1.538439,1.552423,-2.020186,0.856049,0.788578,9.790791,1.036329,-0.402823,2.06221,5.047476,3.494215,0.265231,4.172511
ATPE6,0.525347,2.016753,-1.536819,-0.318441,2.73716,-0.604749,-1.30528,-9.310718,-4.695746,-9.909785,-1.91928,-2.750065,4.7185,0.54853,-3.232316,-2.460942,0.37016,-12.82575,-4.81467,-1.941938,0.023176,-2.320201,0.496906,4.294624,-0.348646,-15.513955,-0.437063,-4.528008,-16.628607,1.509971,0.102666,-0.973578,0.905898,-3.964476,3.466925,0.607691,3.68675,-3.388503,1.088267,-0.713563,-1.566811,-2.869211,-1.786621,-9.711505,5.362874,2.215809,-0.472153,1.419391
PLME3,-1.688754,-5.09427,-2.732551,-0.847359,1.256379,-0.217439,1.51887,0.870891,5.050603,2.643754,3.66291,1.847576,0.293536,0.180558,0.719334,-1.091364,1.066275,0.144395,-2.72522,-0.46893,2.365046,1.325519,2.173776,-4.621657,11.005377,-1.830475,-2.163445,-0.299305,-3.347557,-2.691225,-1.251995,-3.665911,0.465836,4.234698,-4.31864,0.067841,-1.557403,5.268661,-1.559613,-1.446764,-2.304668,0.51183,-3.272888,2.704337,-3.938142,-3.046186,-0.204005,-4.740892
PLME5,-0.298478,1.785291,-0.843699,2.080322,1.42203,0.310822,2.024124,2.517915,4.736453,-1.519793,3.63235,3.578012,1.60938,0.946048,-3.012168,-1.334423,2.775016,7.250233,-1.357374,1.66938,1.032456,0.417895,2.235514,1.019895,11.218974,-0.061879,-1.465087,4.711365,4.451061,0.4337,0.094707,1.267529,1.203112,6.839272,0.6421,2.232592,1.39543,2.352705,2.591741,0.916465,-0.412404,3.417466,-1.31397,1.943283,0.147167,-4.748078,1.65153,0.220721
PLME6,-0.929633,-2.711654,-0.109288,-0.173386,0.053808,0.918038,1.296255,0.983021,5.119212,2.476323,2.618614,0.510311,0.083375,0.912701,-1.995153,-1.052469,1.390624,-9.995483,0.604969,-1.09448,2.212469,-1.619575,2.936292,-9.615104,11.218974,-1.163605,0.498881,-1.982824,4.101994,-3.304517,-1.622203,-1.194805,0.453168,3.403552,-8.968083,0.198705,-0.85552,1.613304,0.505423,-0.843002,-4.514678,2.422769,-5.31581,1.610338,-7.816793,0.191816,0.072108,-6.84074
